"","Race_recode_W_B_AI_API","Age_recode_with_single_ages_and_85","Sex","Site_recode_ICDO3/WHO_2008","AgeAdjusted_Rate","Standard_Error","Lower_Confidence_Interval","Upper_Confidence_Interval","Count","Population"
"93","White","00 years","Male and female","Acute Myeloid Leukemia","1.6","0.1","1.3","1.8",176,11216316
"399","White","01 years","Male and female","Acute Myeloid Leukemia","1.7","0.1","1.5","2.0",188,11102783
"705","White","02 years","Male and female","Acute Myeloid Leukemia","0.8","0.1","0.6","1.0",85,11007201
"1011","White","03 years","Male and female","Acute Myeloid Leukemia","0.6","0.1","0.5","0.8",67,11003106
"1317","White","04 years","Male and female","Acute Myeloid Leukemia","0.5","0.1","0.4","0.7",56,11050332
"1623","White","05 years","Male and female","Acute Myeloid Leukemia","0.4","0.1","0.3","0.6",49,11029079
"1929","White","06 years","Male and female","Acute Myeloid Leukemia","0.4","0.1","0.3","0.5",40,10972333
"2235","White","07 years","Male and female","Acute Myeloid Leukemia","0.4","0.1","0.3","0.6",49,11019613
"2541","White","08 years","Male and female","Acute Myeloid Leukemia","0.3","0.1","0.2","0.5",38,11068006
"2847","White","09 years","Male and female","Acute Myeloid Leukemia","0.4","0.1","0.3","0.5",46,11172677
"3153","White","10 years","Male and female","Acute Myeloid Leukemia","0.5","0.1","0.4","0.7",63,11532374
"3459","White","11 years","Male and female","Acute Myeloid Leukemia","0.6","0.1","0.4","0.7",66,11560157
"3765","White","12 years","Male and female","Acute Myeloid Leukemia","0.6","0.1","0.5","0.8",71,11629560
"4071","White","13 years","Male and female","Acute Myeloid Leukemia","0.7","0.1","0.6","0.9",85,11616031
"4377","White","14 years","Male and female","Acute Myeloid Leukemia","0.8","0.1","0.6","1.0",91,11570867
"4683","White","15 years","Male and female","Acute Myeloid Leukemia","0.8","0.1","0.7","1.0",98,11635364
"4989","White","16 years","Male and female","Acute Myeloid Leukemia","0.9","0.1","0.7","1.1",105,11683828
"5295","White","17 years","Male and female","Acute Myeloid Leukemia","1.1","0.1","0.9","1.3",125,11693894
"5601","White","18 years","Male and female","Acute Myeloid Leukemia","0.9","0.1","0.7","1.1",103,11543866
"5907","White","19 years","Male and female","Acute Myeloid Leukemia","1.0","0.1","0.8","1.2",116,11315556
"6213","White","20 years","Male and female","Acute Myeloid Leukemia","1.0","0.1","0.9","1.2",117,11381460
"6519","White","21 years","Male and female","Acute Myeloid Leukemia","1.0","0.1","0.9","1.3",120,11430737
"6825","White","22 years","Male and female","Acute Myeloid Leukemia","1.0","0.1","0.8","1.2",114,11423718
"7131","White","23 years","Male and female","Acute Myeloid Leukemia","0.9","0.1","0.8","1.1",107,11436219
"7437","White","24 years","Male and female","Acute Myeloid Leukemia","1.1","0.1","0.9","1.3",122,11362549
"7743","White","25 years","Male and female","Acute Myeloid Leukemia","1.0","0.1","0.8","1.2",115,11366939
"8049","White","26 years","Male and female","Acute Myeloid Leukemia","1.1","0.1","0.9","1.3",122,11197427
"8355","White","27 years","Male and female","Acute Myeloid Leukemia","1.1","0.1","0.9","1.3",121,11153553
"8661","White","28 years","Male and female","Acute Myeloid Leukemia","1.1","0.1","0.9","1.3",124,11101528
"8967","White","29 years","Male and female","Acute Myeloid Leukemia","1.1","0.1","0.9","1.3",119,11069168
"9273","White","30 years","Male and female","Acute Myeloid Leukemia","1.1","0.1","0.9","1.3",119,11281357
"9579","White","31 years","Male and female","Acute Myeloid Leukemia","1.2","0.1","1.0","1.4",136,11164876
"9885","White","32 years","Male and female","Acute Myeloid Leukemia","1.4","0.1","1.2","1.6",159,11284695
"10191","White","33 years","Male and female","Acute Myeloid Leukemia","1.3","0.1","1.1","1.5",147,11253974
"10497","White","34 years","Male and female","Acute Myeloid Leukemia","1.6","0.1","1.4","1.8",179,11318781
"10803","White","35 years","Male and female","Acute Myeloid Leukemia","1.4","0.1","1.2","1.6",160,11476701
"11109","White","36 years","Male and female","Acute Myeloid Leukemia","1.3","0.1","1.1","1.5",153,11597151
"11415","White","37 years","Male and female","Acute Myeloid Leukemia","1.5","0.1","1.3","1.7",175,11742947
"11721","White","38 years","Male and female","Acute Myeloid Leukemia","1.6","0.1","1.4","1.8",187,11881569
"12027","White","39 years","Male and female","Acute Myeloid Leukemia","1.5","0.1","1.3","1.8",183,12065051
"12333","White","40 years","Male and female","Acute Myeloid Leukemia","1.7","0.1","1.5","2.0",209,12229735
"12639","White","41 years","Male and female","Acute Myeloid Leukemia","1.4","0.1","1.2","1.7",177,12351998
"12945","White","42 years","Male and female","Acute Myeloid Leukemia","1.8","0.1","1.5","2.0",220,12385406
"13251","White","43 years","Male and female","Acute Myeloid Leukemia","1.9","0.1","1.7","2.2",238,12405261
"13557","White","44 years","Male and female","Acute Myeloid Leukemia","2.0","0.1","1.7","2.2",243,12361457
"13863","White","45 years","Male and female","Acute Myeloid Leukemia","2.2","0.1","1.9","2.4",267,12364007
"14169","White","46 years","Male and female","Acute Myeloid Leukemia","2.1","0.1","1.8","2.3",255,12379331
"14475","White","47 years","Male and female","Acute Myeloid Leukemia","2.5","0.1","2.2","2.8",306,12354036
"14781","White","48 years","Male and female","Acute Myeloid Leukemia","2.6","0.1","2.3","2.9",317,12196529
"15087","White","49 years","Male and female","Acute Myeloid Leukemia","2.5","0.1","2.3","2.8",307,12047811
"15393","White","50 years","Male and female","Acute Myeloid Leukemia","2.7","0.2","2.5","3.1",325,11824744
"15699","White","51 years","Male and female","Acute Myeloid Leukemia","3.0","0.2","2.7","3.3",347,11673551
"16005","White","52 years","Male and female","Acute Myeloid Leukemia","3.2","0.2","2.9","3.6",368,11411888
"16311","White","53 years","Male and female","Acute Myeloid Leukemia","3.6","0.2","3.3","4.0",407,11251234
"16617","White","54 years","Male and female","Acute Myeloid Leukemia","4.0","0.2","3.6","4.4",438,10916044
"16923","White","55 years","Male and female","Acute Myeloid Leukemia","3.9","0.2","3.6","4.3",413,10493761
"17229","White","56 years","Male and female","Acute Myeloid Leukemia","4.3","0.2","3.9","4.7",432,10152299
"17535","White","57 years","Male and female","Acute Myeloid Leukemia","4.2","0.2","3.8","4.6",412,9812553
