"","Race_recode_W_B_AI_API","Age_recode_with_single_ages_and_85","Sex","Site_recode_ICDO3/WHO_2008","AgeAdjusted_Rate","Standard_Error","Lower_Confidence_Interval","Upper_Confidence_Interval","Count","Population"
"90","White","00 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.0",1,11216316
"396","White","01 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.1",2,11102783
"702","White","02 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.1",1,11007201
"1008","White","03 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.1",2,11003106
"1314","White","04 years","Male and female","Chronic Lymphocytic Leukemia","0.0","NA","0.0","0.0",0,11050332
"1620","White","05 years","Male and female","Chronic Lymphocytic Leukemia","0.0","NA","0.0","0.0",0,11029079
"1926","White","06 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.1",1,10972333
"2232","White","07 years","Male and female","Chronic Lymphocytic Leukemia","0.0","NA","0.0","0.0",0,11019613
"2538","White","08 years","Male and female","Chronic Lymphocytic Leukemia","0.0","NA","0.0","0.0",0,11068006
"2844","White","09 years","Male and female","Chronic Lymphocytic Leukemia","0.0","NA","0.0","0.0",0,11172677
"3150","White","10 years","Male and female","Chronic Lymphocytic Leukemia","0.0","NA","0.0","0.0",0,11532374
"3456","White","11 years","Male and female","Chronic Lymphocytic Leukemia","0.0","NA","0.0","0.0",0,11560157
"3762","White","12 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.0",1,11629560
"4068","White","13 years","Male and female","Chronic Lymphocytic Leukemia","0.0","NA","0.0","0.0",0,11616031
"4374","White","14 years","Male and female","Chronic Lymphocytic Leukemia","0.0","NA","0.0","0.0",0,11570867
"4680","White","15 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.1",2,11635364
"4986","White","16 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.0",1,11683828
"5292","White","17 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.1",2,11693894
"5598","White","18 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.1",3,11543866
"5904","White","19 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.1",3,11315556
"6210","White","20 years","Male and female","Chronic Lymphocytic Leukemia","0.0","NA","0.0","0.0",0,11381460
"6516","White","21 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.0",1,11430737
"6822","White","22 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.0",1,11423718
"7128","White","23 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.0",1,11436219
"7434","White","24 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.1",3,11362549
"7740","White","25 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.1",4,11366939
"8046","White","26 years","Male and female","Chronic Lymphocytic Leukemia","0.1","0.0","0.0","0.1",6,11197427
"8352","White","27 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.1",4,11153553
"8658","White","28 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.1",2,11101528
"8964","White","29 years","Male and female","Chronic Lymphocytic Leukemia","0.0","0.0","0.0","0.1",4,11069168
"9270","White","30 years","Male and female","Chronic Lymphocytic Leukemia","0.1","0.0","0.0","0.2",11,11281357
"9576","White","31 years","Male and female","Chronic Lymphocytic Leukemia","0.1","0.0","0.0","0.1",8,11164876
"9882","White","32 years","Male and female","Chronic Lymphocytic Leukemia","0.1","0.0","0.0","0.2",11,11284695
"10188","White","33 years","Male and female","Chronic Lymphocytic Leukemia","0.2","0.0","0.1","0.3",20,11253974
"10494","White","34 years","Male and female","Chronic Lymphocytic Leukemia","0.2","0.0","0.1","0.3",21,11318781
"10800","White","35 years","Male and female","Chronic Lymphocytic Leukemia","0.2","0.0","0.1","0.3",26,11476701
"11106","White","36 years","Male and female","Chronic Lymphocytic Leukemia","0.3","0.1","0.2","0.4",34,11597151
"11412","White","37 years","Male and female","Chronic Lymphocytic Leukemia","0.3","0.1","0.3","0.5",41,11742947
"11718","White","38 years","Male and female","Chronic Lymphocytic Leukemia","0.2","0.0","0.1","0.3",21,11881569
"12024","White","39 years","Male and female","Chronic Lymphocytic Leukemia","0.4","0.1","0.3","0.5",49,12065051
"12330","White","40 years","Male and female","Chronic Lymphocytic Leukemia","0.5","0.1","0.4","0.6",61,12229735
"12636","White","41 years","Male and female","Chronic Lymphocytic Leukemia","0.7","0.1","0.6","0.9",88,12351998
"12942","White","42 years","Male and female","Chronic Lymphocytic Leukemia","0.8","0.1","0.6","0.9",96,12385406
"13248","White","43 years","Male and female","Chronic Lymphocytic Leukemia","1.0","0.1","0.8","1.2",121,12405261
"13554","White","44 years","Male and female","Chronic Lymphocytic Leukemia","1.2","0.1","1.0","1.4",150,12361457
"13860","White","45 years","Male and female","Chronic Lymphocytic Leukemia","1.7","0.1","1.4","1.9",206,12364007
"14166","White","46 years","Male and female","Chronic Lymphocytic Leukemia","1.9","0.1","1.6","2.1",231,12379331
"14472","White","47 years","Male and female","Chronic Lymphocytic Leukemia","2.1","0.1","1.9","2.4",262,12354036
"14778","White","48 years","Male and female","Chronic Lymphocytic Leukemia","2.5","0.1","2.2","2.7",299,12196529
"15084","White","49 years","Male and female","Chronic Lymphocytic Leukemia","2.7","0.1","2.4","3.0",323,12047811
"15390","White","50 years","Male and female","Chronic Lymphocytic Leukemia","3.3","0.2","2.9","3.6",385,11824744
"15696","White","51 years","Male and female","Chronic Lymphocytic Leukemia","3.6","0.2","3.2","3.9",415,11673551
"16002","White","52 years","Male and female","Chronic Lymphocytic Leukemia","4.1","0.2","3.7","4.4",463,11411888
"16308","White","53 years","Male and female","Chronic Lymphocytic Leukemia","4.6","0.2","4.3","5.1",523,11251234
"16614","White","54 years","Male and female","Chronic Lymphocytic Leukemia","5.3","0.2","4.9","5.8",584,10916044
"16920","White","55 years","Male and female","Chronic Lymphocytic Leukemia","6.4","0.2","6.0","6.9",676,10493761
"17226","White","56 years","Male and female","Chronic Lymphocytic Leukemia","6.9","0.3","6.4","7.4",698,10152299
"17532","White","57 years","Male and female","Chronic Lymphocytic Leukemia","7.9","0.3","7.3","8.4",772,9812553
"17838","White","58 years","Male and female","Chronic Lymphocytic Leukemia","8.6","0.3","8.1","9.3",813,9403324
"18144","White","59 years","Male and female","Chronic Lymphocytic Leukemia","9.4","0.3","8.8","10.1",847,8971218
"18450","White","60 years","Male and female","Chronic Lymphocytic Leukemia","10.3","0.3","9.7","11.0",879,8511057
"18756","White","61 years","Male and female","Chronic Lymphocytic Leukemia","10.6","0.4","10.0","11.4",871,8180751
"19062","White","62 years","Male and female","Chronic Lymphocytic Leukemia","12.9","0.4","12.1","13.7",1005,7798401
"19368","White","63 years","Male and female","Chronic Lymphocytic Leukemia","13.6","0.4","12.7","14.4",999,7369179
"19674","White","64 years","Male and female","Chronic Lymphocytic Leukemia","15.3","0.5","14.4","16.2",1067,6991083
"19980","White","65 years","Male and female","Chronic Lymphocytic Leukemia","17.2","0.5","16.2","18.2",1138,6631858
"20286","White","66 years","Male and female","Chronic Lymphocytic Leukemia","18.2","0.5","17.2","19.3",1124,6168804
"20592","White","67 years","Male and female","Chronic Lymphocytic Leukemia","18.8","0.6","17.7","19.9",1111,5906573
"20898","White","68 years","Male and female","Chronic Lymphocytic Leukemia","19.6","0.6","18.4","20.8",1107,5657153
"21204","White","69 years","Male and female","Chronic Lymphocytic Leukemia","21.0","0.6","19.8","22.3",1140,5429666
"21510","White","70 years","Male and female","Chronic Lymphocytic Leukemia","21.8","0.7","20.6","23.1",1125,5158848
